platform,cpu_model,workload,backend,n,mean_s,ci95_low_s,ci95_high_s,cv_percent,overhead_x_vs_native,overhead_p_value,overhead_p_holm,overhead_x_vs_cli,overhead_p_vs_cli,overhead_p_vs_cli_holm,container_peak_mem_mb,lifecycle_floor_s,compute_est_s
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,lifecycle_floor,native,60,0.001152,0.001041,0.001264,37.36,,,,,,,,0.001152,
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,lifecycle_floor,cli,30,0.328328,0.316363,0.340292,9.76,284.8939,4.28169515129131e-31,0.0,,,,,0.328328,
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,lifecycle_floor,strategy,30,0.506925,0.498289,0.51556,4.56,439.8647,1.1917927403962659e-40,0.0,1.544,1.0333024508207579e-30,0.0,,0.506925,
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ecp5_ecppack,native,30,0.51246,0.507712,0.517208,2.48,,,,,,,,0.001152,0.511308
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ecp5_ecppack,cli,30,0.77096,0.763463,0.778457,2.6,1.5044,2.0711890354892544e-47,0.0,,,,,0.328328,0.442632
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ecp5_ecppack,strategy,30,1.00492,0.99551,1.01433,2.51,1.961,1.371011267701898e-51,0.0,1.3035,2.4381625405519494e-42,0.0,100.7,0.506925,0.497995
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ice40_icepack,native,30,0.015898,0.015832,0.015965,1.12,,,,,,,,0.001152,0.014746
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ice40_icepack,cli,30,0.314786,0.314691,0.31488,0.08,19.8001,4.62800258339716e-151,0.0,,,,,0.328328,-0.013542
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pack_ice40_icepack,strategy,30,0.523608,0.514978,0.532237,4.41,32.935,1.063724575416013e-40,0.0,1.6634,1.4310197399839292e-29,0.0,3.6,0.506925,0.016683
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ecp5_nextpnr,native,30,0.368614,0.363864,0.373364,3.45,,,,,,,,0.001152,0.367462
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ecp5_nextpnr,cli,30,0.665566,0.665456,0.665675,0.04,1.8056,1.715636387734055e-41,0.0,,,,,0.328328,0.337238
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ecp5_nextpnr,strategy,30,0.87112,0.86212,0.880119,2.77,2.3632,1.0291303602531572e-53,0.0,1.3088,7.471508466564569e-29,0.0,,0.506925,0.364195
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ice40_nextpnr,native,30,0.064298,0.064213,0.064382,0.35,,,,,,,,0.001152,0.063145
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ice40_nextpnr,cli,30,0.348115,0.339125,0.357105,6.92,5.4141,6.861111325890816e-33,0.0,,,,,0.328328,0.019787
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,pnr_ice40_nextpnr,strategy,30,0.560511,0.552931,0.568091,3.62,8.7175,4.7937881055416666e-42,0.0,1.6101,3.3321400212491047e-41,0.0,2.7,0.506925,0.053586
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,sim_iverilog,native,30,0.031916,0.031874,0.031959,0.35,,,,,,,,0.001152,0.030764
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,sim_iverilog,cli,30,0.318226,0.313498,0.322953,3.98,9.9706,4.598239296927506e-41,0.0,,,,,0.328328,-0.010102
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,sim_iverilog,strategy,30,0.520333,0.514573,0.526094,2.97,16.303,2.6957863412983286e-45,0.0,1.6351,1.5123932827382195e-50,0.0,3.0,0.506925,0.013409
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,synth_ecp5_yosys,native,30,0.264868,0.264807,0.264929,0.06,,,,,,,,0.001152,0.263716
linux-amd64,Intel(R) Core(TM) Ultra 9 285H,synth_ecp5_yosys,cli,30,0.582181,0.570838,0.593524,5.22,2.198,2.240660090551548e-31,0.0,,,,,0.328328,0.253854
